#
 0,            random,40, 0.391, 0.028,           - *       |                   , 0.343, 0.429
#
 1,            random,35, 0.401, 0.027,            -*-      |                   , 0.297, 0.437
#
 2,    exploit/False, 30, 0.402, 0.031,           --*-      |                   , 0.343, 0.428
 2,            random,20, 0.407, 0.028,           -- *      |                   , 0.235, 0.428
 2,    exploit/False, 20, 0.409, 0.038,           -- *      |                   , 0.203, 0.440
 2,    exploit/False, 35, 0.409, 0.022,           -- *      |                   , 0.267, 0.427
 2,    exploit/False, 40, 0.409, 0.057,        ---   *      |                   , 0.197, 0.426
 2,            random,30, 0.410, 0.010,            --*      |                   , 0.316, 0.437
 2,            random,25, 0.413, 0.031,            - *      |                   , 0.358, 0.436
 2,    exploit/False, 25, 0.418, 0.036,           -- *      |                   , 0.316, 0.437
#
 3,            random,15, 0.425, 0.021,           --- *     |                   , 0.282, 0.454
 3,            random,10, 0.428, 0.019,             - *     |                   , 0.359, 0.450
 3,    exploit/False, 15, 0.428, 0.020,             - *     |                   , 0.323, 0.441
 3,    exploit/False, 10, 0.431, 0.018,             - *     |                   , 0.345, 0.444
#
 4,       baseline,10000, 0.696, 0.246,               -     |       *--         , 0.163, 0.903
