#
 0,            random,10, 0.000, 0.000, *                   |                   , 0.000, 0.710
#
 1,    exploit/False, 10, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 2,            random,15, 0.000, 0.000, *-------------------|---------          , 0.000, 0.710
 2,    exploit/False, 15, 0.000, 0.000, *                   |                   , 0.000, 0.000
 2,            random,20, 0.000, 0.000, *                   |                   , 0.000, 0.000
 2,    exploit/False, 20, 0.000, 0.000, *                   |                   , 0.000, 0.000
 2,            random,25, 0.000, 0.000, *                   |                   , 0.000, 0.000
 2,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.000
 2,            random,30, 0.000, 0.000, *                   |                   , 0.000, 0.000
 2,    exploit/False, 30, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 3,            random,35, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 4,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 5,            random,40, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 6,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 7,       baseline,10000, 0.863, 0.155, --------------------|---------      *   , 0.000, 0.940
