#
 0,    exploit/False, 20, 0.412, 0.008, ---*-               |                   , 0.375, 0.426
 0,    exploit/False, 25, 0.412, 0.000,    *                |                   , 0.406, 0.426
 0,    exploit/False, 30, 0.412, 0.005,    *                |                   , 0.375, 0.419
 0,    exploit/False, 35, 0.412, 0.036,    *                |                   , 0.375, 0.412
#
 1,    exploit/False, 40, 0.412, 0.000, ---*                |                   , 0.375, 0.412
#
 2,    exploit/False, 10, 0.419, 0.014,     *--             |                   , 0.375, 0.472
 2,    exploit/False, 15, 0.419, 0.014,     *               |                   , 0.375, 0.429
#
 3,            random,35, 0.430, 0.032,      * --           |                   , 0.375, 0.487
#
 4,            random,40, 0.430, 0.038, -----*   -          |                   , 0.375, 0.475
 4,            random,25, 0.444, 0.035,    --  * -          |                   , 0.375, 0.475
 4,            random,30, 0.459, 0.034,    --   *-          |                   , 0.375, 0.476
#
 5,            random,15, 0.468, 0.011,      ----*-         |                   , 0.412, 0.495
 5,            random,20, 0.468, 0.011,        --*-         |                   , 0.430, 0.486
#
 6,            random,10, 0.486, 0.020,            *        |                   , 0.430, 0.495
#
 7,          baseline,93, 0.490, 0.023,      ----- *-       |                   , 0.375, 0.760
