#
 0,    exploit/False, 40, 0.099, 0.126,  *    -             |                   , 0.066, 0.224
#
 1,    exploit/False, 35, 0.122, 0.076,   * ----            |                   , 0.066, 0.328
 1,            random,35, 0.150, 0.099, -   * ----          |                   , 0.066, 0.321
 1,    exploit/False, 30, 0.151, 0.060, --  *--             |                   , 0.066, 0.243
 1,    exploit/False, 25, 0.178, 0.152,      * --           |                   , 0.066, 0.380
 1,    exploit/False, 20, 0.192, 0.116, --    * --          |                   , 0.068, 0.345
#
 2,            random,25, 0.194, 0.066,   --- * --          |                   , 0.075, 0.358
 2,    exploit/False, 10, 0.198, 0.095, ----  *  ---        |                   , 0.068, 0.342
 2,            random,30, 0.198, 0.078,       * -           |                   , 0.066, 0.306
 2,            random,40, 0.210, 0.045, ----- *--           |                   , 0.066, 0.296
 2,    exploit/False, 15, 0.227, 0.077, -----  * --         |                   , 0.068, 0.343
#
 3,            random,20, 0.249, 0.071,     --- * --        |                   , 0.068, 0.330
 3,            random,15, 0.250, 0.087,   ----- *  ----     |                   , 0.070, 0.404
 3,            random,10, 0.255, 0.140,   ---    *  ------  |                   , 0.066, 0.500
#
 4,         baseline,500, 0.519, 0.166,            ------   |*   -----          , 0.066, 0.904
