#
 0,    exploit/False, 25, 0.052, 0.046,  -* ---------       |                   , 0.017, 0.310
 0,    exploit/False, 35, 0.052, 0.064, - * ---             |                   , 0.017, 0.155
 0,    exploit/False, 40, 0.052, 0.022, - *--               |                   , 0.017, 0.152
 0,    exploit/False, 30, 0.060, 0.100, -  *                |                   , 0.017, 0.272
 0,            random,35, 0.060, 0.034, -- *---             |                   , 0.000, 0.176
#
 1,            random,40, 0.063, 0.073, -- * ---            |                   , 0.017, 0.167
 1,            random,30, 0.085, 0.110, --  *  -            |                   , 0.000, 0.205
#
 2,    exploit/False, 20, 0.101, 0.079,  --  * -            |                   , 0.031, 0.226
#
 3,            random,25, 0.103, 0.083,   -  *              |                   , 0.000, 0.261
 3,    exploit/False, 15, 0.120, 0.056,  ---  *--           |                   , 0.017, 0.265
 3,            random,20, 0.133, 0.095, ---   * ---         |                   , 0.000, 0.249
 3,    exploit/False, 10, 0.146, 0.079,    --  * --         |                   , 0.052, 0.354
#
 4,            random,15, 0.162, 0.033,   ----- *--         |                   , 0.000, 0.256
#
 5,            random,10, 0.169, 0.113,  ---    * ---       |                   , 0.000, 0.318
#
 6,         baseline,500, 0.407, 0.160,         --------    |*  -----           , 0.000, 0.773
