#
 0,    exploit/False, 35, 0.262, 0.047,       *---          |                   , 0.150, 0.346
 0,    exploit/False, 40, 0.262, 0.044, ----  *--           |                   , 0.150, 0.360
 0,    exploit/False, 25, 0.278, 0.050,     -- * ---        |                   , 0.231, 0.386
#
 1,    exploit/False, 30, 0.278, 0.023,     -- *--          |                   , 0.150, 0.371
#
 2,    exploit/False, 20, 0.298, 0.079,     --- *  --       |                   , 0.231, 0.495
 2,            random,30, 0.311, 0.052,     --- *--         |                   , 0.150, 0.427
 2,            random,35, 0.311, 0.077, ------  * ---       |                   , 0.150, 0.401
 2,            random,40, 0.319, 0.080,     --   * -        |                   , 0.150, 0.382
 2,    exploit/False, 15, 0.320, 0.020,        - *--        |                   , 0.231, 0.393
#
 3,            random,20, 0.346, 0.065,       --- *  -      |                   , 0.150, 0.442
 3,            random,25, 0.347, 0.053,       --  *-        |                   , 0.150, 0.442
 3,    exploit/False, 10, 0.355, 0.066,       ---  *---     |                   , 0.150, 0.433
#
 4,            random,15, 0.356, 0.059,         -  *---     |                   , 0.275, 0.499
 4,            random,10, 0.373, 0.063,        ---- * ----  |                   , 0.231, 0.575
#
 5,         baseline,500, 0.583, 0.146,              ------ |  *   ------       , 0.150, 0.880
