#
 0,    exploit/False, 35, 0.072, 0.014,  *--                |                   , 0.038, 0.123
 0,    exploit/False, 30, 0.072, 0.010, -*-                 |                   , 0.038, 0.172
 0,    exploit/False, 40, 0.072, 0.017,  *---               |                   , 0.038, 0.157
 0,    exploit/False, 25, 0.082, 0.030, - *---              |                   , 0.038, 0.171
 0,            random,40, 0.088, 0.020,   *-                |                   , 0.038, 0.142
#
 1,            random,35, 0.093, 0.011,  -*-                |                   , 0.038, 0.124
#
 2,            random,20, 0.100, 0.037,  - *---             |                   , 0.038, 0.234
 2,            random,30, 0.101, 0.050,  - * -              |                   , 0.058, 0.216
 2,    exploit/False, 15, 0.103, 0.036,  - *----            |                   , 0.038, 0.220
 2,            random,25, 0.107, 0.044,  - * ---            |                   , 0.058, 0.208
 2,    exploit/False, 20, 0.110, 0.056,  - * -              |                   , 0.038, 0.207
#
 3,            random,15, 0.116, 0.059,  -  *-              |                   , 0.038, 0.197
 3,    exploit/False, 10, 0.117, 0.103,  -  *   -           |                   , 0.071, 0.237
#
 4,            random,10, 0.144, 0.031,   -- *-             |                   , 0.038, 0.216
#
 5,         baseline,500, 0.335, 0.189,      -----      *   |------             , 0.038, 0.765
