#
 0,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.003
 0,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,    exploit/False, 30, 0.000, 0.000, *                   |                   , 0.000, 0.002
 0,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.003
 0,            random,40, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,            random,35, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,            random,30, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,            random,15, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,    exploit/False, 20, 0.000, 0.000, *                   |                   , 0.000, 0.002
 0,    exploit/False, 10, 0.000, 0.000, *                   |                   , 0.000, 0.002
 0,            random,20, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,            random,25, 0.000, 0.000, *                   |                   , 0.000, 0.000
 0,    exploit/False, 15, 0.000, 0.000, *                   |                   , 0.000, 0.003
 0,            random,10, 0.000, 0.000, *                   |                   , 0.000, 0.002
 0,        baseline,3840, 0.000, 0.000, *                   |                   , 0.000, 0.058
