#
 0,    exploit/False, 40, 0.013, 0.002, -*                  |                   , 0.008, 0.017
 0,    exploit/False, 30, 0.013, 0.004,  *                  |                   , 0.009, 0.017
 0,    exploit/False, 25, 0.014, 0.004, -*                  |                   , 0.008, 0.018
 0,    exploit/False, 20, 0.014, 0.001,  *                  |                   , 0.008, 0.017
#
 1,    exploit/False, 35, 0.014, 0.003,  *                  |                   , 0.012, 0.017
 1,    exploit/False, 15, 0.014, 0.001,  *                  |                   , 0.008, 0.032
 1,            random,40, 0.015, 0.002,  *                  |                   , 0.008, 0.018
 1,            random,35, 0.015, 0.002,  *                  |                   , 0.000, 0.018
 1,            random,30, 0.016, 0.003, -*                  |                   , 0.000, 0.019
#
 2,            random,20, 0.016, 0.002,  *                  |                   , 0.000, 0.038
 2,    exploit/False, 10, 0.016, 0.004,  *                  |                   , 0.011, 0.079
#
 3,            random,15, 0.017, 0.002,  *                  |                   , 0.014, 0.020
 3,            random,25, 0.017, 0.004,  *                  |                   , 0.000, 0.020
 3,            random,10, 0.018, 0.003,   *--               |                   , 0.015, 0.119
#
 4,        baseline,2866, 0.059, 0.136,  ---  *            -|---------          , 0.015, 0.370
