#
 0,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.015
 0,    exploit/False, 30, 0.000, 0.000, *                   |                   , 0.000, 0.005
 0,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.003
 0,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.003
#
 1,            random,40, 0.002, 0.002, *                   |                   , 0.000, 0.008
#
 2,            random,35, 0.002, 0.004, *                   |                   , 0.000, 0.013
 2,            random,30, 0.003, 0.002, *                   |                   , 0.000, 0.014
 2,    exploit/False, 15, 0.003, 0.007, *-                  |                   , 0.000, 0.077
 2,    exploit/False, 20, 0.003, 0.005, *-                  |                   , 0.000, 0.061
 2,            random,25, 0.003, 0.003, *                   |                   , 0.000, 0.013
#
 3,            random,20, 0.007, 0.006, *                   |                   , 0.000, 0.016
#
 4,            random,15, 0.008, 0.009, *-                  |                   , 0.000, 0.222
 4,            random,10, 0.011, 0.007, *--                 |                   , 0.000, 0.084
 4,    exploit/False, 10, 0.011, 0.061, * --                |                   , 0.000, 0.152
#
 5,         baseline,196, 0.257, 0.126, -------   * ------  |                   , 0.000, 1.000
