#
 0,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.048
 0,    exploit/False, 30, 0.000, 0.000, *                   |                   , 0.000, 0.002
 0,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.002
 0,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 1,            random,40, 0.001, 0.001, *                   |                   , 0.000, 0.004
 1,    exploit/False, 15, 0.002, 0.000, *                   |                   , 0.000, 0.014
 1,    exploit/False, 20, 0.002, 0.002, *                   |                   , 0.000, 0.049
 1,            random,25, 0.002, 0.000, *                   |                   , 0.000, 0.010
 1,            random,35, 0.002, 0.001, *                   |                   , 0.000, 0.012
#
 2,            random,30, 0.002, 0.000, *                   |                   , 0.000, 0.011
 2,            random,20, 0.002, 0.003, *                   |                   , 0.000, 0.015
#
 3,            random,15, 0.004, 0.010, *-                  |                   , 0.000, 0.231
 3,    exploit/False, 10, 0.010, 0.047, *-                  |                   , 0.000, 0.146
 3,            random,10, 0.010, 0.007, *--                 |                   , 0.000, 0.101
#
 4,         baseline,196, 0.255, 0.131, --------  *  ------ |                   , 0.000, 1.000
