#
 0,    exploit/False, 20, 0.000, 0.005, *                   |                   , 0.000, 0.058
 0,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.005
 0,    exploit/False, 30, 0.000, 0.000, *                   |                   , 0.000, 0.053
 0,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 1,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.005
 1,            random,30, 0.003, 0.003, *                   |                   , 0.000, 0.013
 1,            random,35, 0.003, 0.003, *                   |                   , 0.000, 0.015
 1,            random,40, 0.003, 0.003, *                   |                   , 0.000, 0.007
 1,            random,25, 0.004, 0.003, *                   |                   , 0.000, 0.009
 1,    exploit/False, 15, 0.005, 0.005, *                   |                   , 0.000, 0.225
 1,    exploit/False, 10, 0.005, 0.046, *-                  |                   , 0.000, 0.141
#
 2,            random,20, 0.006, 0.004, *                   |                   , 0.000, 0.019
 2,            random,15, 0.007, 0.008, *-                  |                   , 0.000, 0.231
 2,            random,10, 0.009, 0.006, *--                 |                   , 0.000, 0.172
#
 3,         baseline,196, 0.264, 0.129, --------  *  -----  |                   , 0.000, 1.000
