#
 0,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.125
 0,    exploit/False, 35, 0.000, 0.000, *-                  |                   , 0.000, 0.076
 0,    exploit/False, 30, 0.000, 0.000, *-                  |                   , 0.000, 0.044
 0,    exploit/False, 40, 0.000, 0.001, *----------         |                   , 0.000, 0.113
 0,    exploit/False, 15, 0.001, 0.005, *-----------        |                   , 0.000, 0.128
 0,    exploit/False, 20, 0.001, 0.052, *    -------        |                   , 0.000, 0.130
 0,            random,35, 0.001, 0.003, *                   |                   , 0.000, 0.023
 0,            random,25, 0.001, 0.002, *                   |                   , 0.000, 0.025
 0,            random,40, 0.001, 0.003, *                   |                   , 0.000, 0.014
 0,            random,30, 0.003, 0.003, *---                |                   , 0.000, 0.057
 0,            random,15, 0.004, 0.023, * ---------         |                   , 0.000, 0.118
 0,            random,20, 0.006, 0.012, *------             |                   , 0.001, 0.078
 0,    exploit/False, 10, 0.013, 0.119,  *          --      |                   , 0.000, 0.173
 0,            random,10, 0.024, 0.019,   *---              |                   , 0.001, 0.087
#
 1,        baseline,2880, 0.059, 0.049, ----  *  -----      |                   , 0.000, 0.388
