#
 0,    exploit/False, 40, 0.036, 0.014, - *-                |                   , 0.000, 0.138
 0,    exploit/False, 35, 0.038, 0.016,   *                 |                   , 0.007, 0.064
#
 1,    exploit/False, 30, 0.046, 0.027, --*--               |                   , 0.000, 0.102
#
 2,    exploit/False, 25, 0.048, 0.034,  -* -               |                   , 0.000, 0.140
 2,    exploit/False, 20, 0.053, 0.030,  - *-               |                   , 0.006, 0.110
#
 3,            random,30, 0.062, 0.021,  --*-               |                   , 0.006, 0.112
#
 4,            random,25, 0.068, 0.036,   - *-              |                   , 0.025, 0.117
 4,            random,35, 0.069, 0.039,   - *--             |                   , 0.011, 0.135
 4,            random,40, 0.073, 0.042,   - *--             |                   , 0.006, 0.143
 4,            random,20, 0.080, 0.042,   - * -             |                   , 0.007, 0.143
 4,            random,15, 0.080, 0.040,    -* --            |                   , 0.042, 0.162
#
 5,    exploit/False, 15, 0.090, 0.044,   -  *-             |                   , 0.042, 0.134
 5,    exploit/False, 10, 0.102, 0.035,    -  *---          |                   , 0.030, 0.194
 5,            random,10, 0.105, 0.056,       *--           |                   , 0.053, 0.238
#
 6,       baseline,10000, 0.248, 0.105,        ----   *  ---|---                , 0.016, 0.674
