#
 0,    exploit/False, 40, 0.052, 0.030,  - *--              |                   , 0.007, 0.103
#
 1,    exploit/False, 35, 0.066, 0.035,     *--             |                   , 0.041, 0.127
 1,    exploit/False, 25, 0.072, 0.049,  -- * --            |                   , 0.034, 0.156
#
 2,            random,35, 0.082, 0.021,    - *-             |                   , 0.041, 0.137
 2,            random,40, 0.083, 0.021,    - *----          |                   , 0.047, 0.153
 2,    exploit/False, 30, 0.084, 0.037,  --  *-             |                   , 0.007, 0.120
 2,    exploit/False, 20, 0.091, 0.016,   ---*-             |                   , 0.034, 0.142
 2,            random,30, 0.098, 0.038,    -- *--           |                   , 0.017, 0.154
#
 3,    exploit/False, 15, 0.101, 0.046,     --*  ---        |                   , 0.041, 0.234
 3,            random,25, 0.112, 0.034,      - *---         |                   , 0.024, 0.194
 3,    exploit/False, 10, 0.112, 0.042,      - * ---        |                   , 0.073, 0.220
 3,            random,20, 0.118, 0.040,   ---  *--          |                   , 0.007, 0.172
#
 4,            random,15, 0.136, 0.085,     -    * --       |                   , 0.062, 0.226
 4,            random,10, 0.150, 0.073,      -    * --      |                   , 0.036, 0.212
#
 5,       baseline,10000, 0.261, 0.102,           ----    * |------             , 0.034, 0.569
