#
 0,    exploit/False, 40, 0.035, 0.027,  *-                 |                   , 0.016, 0.068
#
 1,    exploit/False, 30, 0.050, 0.019, - *--               |                   , 0.024, 0.107
 1,    exploit/False, 35, 0.050, 0.027, - *-                |                   , 0.016, 0.084
#
 2,    exploit/False, 25, 0.059, 0.029, -- *--              |                   , 0.013, 0.118
#
 3,            random,40, 0.066, 0.043,    * --             |                   , 0.038, 0.130
 3,            random,35, 0.071, 0.029,  - *-               |                   , 0.030, 0.106
 3,    exploit/False, 20, 0.076, 0.028, --- *--             |                   , 0.013, 0.143
#
 4,    exploit/False, 15, 0.089, 0.029,   -  *---           |                   , 0.026, 0.180
#
 5,            random,20, 0.095, 0.038,    - *-             |                   , 0.036, 0.157
 5,            random,30, 0.099, 0.019,    --*--            |                   , 0.058, 0.144
 5,            random,25, 0.100, 0.021,    - *--            |                   , 0.039, 0.148
 5,    exploit/False, 10, 0.104, 0.044,    -- * --          |                   , 0.059, 0.186
 5,            random,15, 0.105, 0.043,   -   *-            |                   , 0.024, 0.188
 5,            random,10, 0.111, 0.054,       * -           |                   , 0.057, 0.205
#
 6,       baseline,10000, 0.232, 0.091,        ----   *  ---|-                  , 0.024, 0.610
