#
 0,    exploit/False, 40, 0.128, 0.030,  - *--              |                   , 0.073, 0.262
 0,    exploit/False, 30, 0.136, 0.027,    *--              |                   , 0.098, 0.196
 0,    exploit/False, 35, 0.143, 0.025,    *-               |                   , 0.100, 0.198
#
 1,            random,40, 0.154, 0.035,     *-              |                   , 0.120, 0.195
 1,    exploit/False, 20, 0.154, 0.029,  -- *---            |                   , 0.077, 0.231
 1,            random,25, 0.159, 0.043,   - * --            |                   , 0.070, 0.257
 1,    exploit/False, 25, 0.159, 0.022,   - *-              |                   , 0.080, 0.227
 1,            random,30, 0.161, 0.030,    -*--             |                   , 0.098, 0.252
#
 2,            random,35, 0.168, 0.037,  --- *-             |                   , 0.073, 0.277
 2,    exploit/False, 15, 0.174, 0.062,   -- * --           |                   , 0.108, 0.353
 2,            random,20, 0.181, 0.030,   ---*----          |                   , 0.109, 0.265
#
 3,    exploit/False, 10, 0.190, 0.044,     - *---          |                   , 0.148, 0.273
 3,            random,10, 0.204, 0.093,     -- *   --       |                   , 0.100, 0.325
 3,            random,15, 0.205, 0.069,     -- * ---        |                   , 0.091, 0.372
#
 4,       baseline,10000, 0.362, 0.115,        -----   *  --|---                , 0.080, 0.830
